competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94393728,400,94392558,770,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94477928,260,94476538,1130,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94533058,250,94531708,1100,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94276249,230,94275309,710,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94649618,230,94648498,890,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94439978,130,94439139,709,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94743827,240,94742777,810,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94641757,140,94640977,640,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94453968,150,94452838,980,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94442778,350,94441128,1300,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94011430,150,94010370,910,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94296759,240,94295179,1340,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94000921,140,93999881,900,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94402249,350,94401099,800,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,94551868,150,94550548,1170,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95417883,410,95416584,889,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,96076591,371,96075450,770,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95849512,270,95848362,880,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95748692,190,95747832,670,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95856562,280,95855422,860,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95779432,411,95778072,949,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95936351,360,95934991,1000,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95764022,270,95762762,990,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,96151900,160,96150760,980,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95805772,430,95804262,1080,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95545283,170,95544153,960,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95892932,370,95891502,1060,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95705413,250,95704243,920,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95742642,360,95741422,860,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,95493863,380,95492233,1250,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,581447619,194144931,382934489,4368199,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,97909602,1670282,92126660,4112660,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,97649783,1703222,91625402,4321159,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,59897207,1661552,54061126,4174529,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,62719913,2956315,55207510,4556088,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,57089441,1633082,51202509,4253850,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,57412780,1556462,51605928,4250390,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,58154826,1565652,52502434,4086740,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,75456601,1766901,69451691,4238009,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,57446910,1544193,51626858,4275859,1
