competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112744686,317,112743686,683,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112638130,424,112637240,466,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112647901,176,112647271,454,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112426809,128,112425820,861,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112368201,132,112367666,403,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112347848,132,112347393,323,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112349759,163,112349286,310,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112367618,120,112367108,390,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112330973,111,112330468,394,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112413678,144,112413232,302,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112588527,114,112588027,386,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112403317,113,112402835,369,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112368039,112,112367537,390,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,112329803,96,112329403,304,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,111645413,116,111644988,309,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,114305002,237,114304271,494,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,114011304,209,114010697,398,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,114434861,246,114434375,240,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,114475172,220,114474612,340,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,113735101,223,113734429,449,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,114267162,248,114266551,363,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,114260516,224,114260007,285,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,114254001,223,114253429,349,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,113689094,591,113688208,295,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,114029872,247,114029278,347,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,113709385,220,113708854,311,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,114517380,226,114516762,392,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,113689634,228,113688890,516,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,114230852,220,114230275,357,1
CPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,114274767,509,114273927,331,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,173982607,2850030,163952224,7180353,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,117825791,2417010,108009192,7399589,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,95427408,2454534,85238779,7734095,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,73664990,2576988,64221522,6866480,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,95003306,2589210,84781188,7632908,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,73683976,2609646,63782547,7291783,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,72870151,2659460,62546454,7664237,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,74309694,2456542,64630501,7222651,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,73603145,2362306,64351771,6889068,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,73896135,2352515,64137611,7406009,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,74268588,2464759,64538331,7265498,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,73962454,2559312,64151106,7252036,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,80615134,2488694,70633353,7493087,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,96937627,2508265,86966631,7462731,1
CPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,74031598,2569947,64577820,6883831,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,13315578,4159438,6087680,3053549,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,13505943,3886888,6667264,2948283,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12812231,3810977,6074400,2923462,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12728309,3771004,6030336,2924216,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,13068414,3791156,6361088,2913030,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12748363,3780149,6049792,2914465,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12734568,3779574,6013952,2938258,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12736745,3750388,6061056,2922392,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12733898,3766503,6045696,2919315,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12816400,3779822,6063104,2969734,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12788617,3767448,6081536,2936952,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12710348,3764275,6029312,2913629,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12764536,3770535,6069216,2921697,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12741947,3771543,6054880,2911854,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12718259,3772748,6030304,2912822,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,11298115,5462372,1363328,4399988,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10936081,5202035,1368160,4291645,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10896610,5173107,1353504,4296648,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10928078,5177951,1364128,4311360,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10894457,5169110,1325376,4326285,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10899209,5164619,1353344,4306104,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10927358,5170184,1366752,4316046,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10921484,5164394,1373248,4309326,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10921124,5189345,1361152,4297128,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10942794,5204971,1353248,4310022,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10951428,5195022,1363552,4319392,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10919469,5165551,1361984,4317584,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10931074,5193372,1363584,4300914,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10918035,5184050,1352480,4307976,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10910457,5161771,1351776,4322283,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,27610940,8167191,7846720,11593486,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19988605,6084769,2566944,11334156,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19872139,5931567,2571360,11365668,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19651512,5994873,2573792,11079153,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19867304,5910518,2575744,11378083,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19757348,5860882,2581856,11310829,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19827469,5921788,2577120,11324690,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19987876,5929536,2568480,11485718,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,20170801,5963458,2583264,11620493,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,20000544,5873569,2584736,11538891,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19932523,5952461,2573952,11402791,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19880036,5923642,2579232,11374084,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19840417,5923537,2582624,11330650,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19848054,5917969,2579552,11347598,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19992726,5992494,2576064,11421661,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,139187832,3933608,131706880,3545527,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,129964854,3807401,123203552,2951360,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,125906462,3788816,119157760,2957785,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124650966,3786739,117913600,2948576,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124251602,3774229,117440512,3034953,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124000154,3775601,117269504,2952513,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124193567,3775623,117477376,2938000,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124127871,3800107,117383168,2941809,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124199606,3774336,117477376,2945168,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124672183,4397080,117331968,2940368,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124305287,3784261,117582848,2935537,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124088482,3757293,117392384,2936770,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124235062,3789251,117484544,2959427,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124211474,3772848,117467136,2969340,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124174439,3762441,117474304,2936065,1
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,26372885,3917202,19407232,3038780,1
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,26357246,3895618,19418016,3033368,1
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,26368610,3916113,19406656,3035984,1
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,26374166,3932131,19406080,3025779,1
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,27519836,3941604,19404544,4163567,1
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,26359886,3899939,19421504,3028463,1
