competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41866800,6449,41859531,820,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41750731,260,41749581,890,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41699652,150,41698612,890,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41835921,140,41834901,880,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41658132,250,41656792,1090,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41554452,369,41553373,710,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41739992,130,41738622,1240,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41785861,250,41784931,680,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41651951,369,41650662,920,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41604772,370,41603382,1020,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41601122,260,41599872,990,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41818451,160,41817380,911,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41681682,130,41680532,1020,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41555292,300,41554213,779,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41698361,160,41697311,890,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41575272,140,41574252,880,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41797001,240,41795851,910,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41721821,370,41720762,689,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41702242,351,41700591,1300,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,41510992,150,41509592,1250,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,43346703,389,43345084,1230,1,1,1
