competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,55031282,3930,55026718,634,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54774092,368,54773367,357,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54723168,178,54722658,332,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54727466,122,54726988,356,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54687799,123,54687305,371,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54753483,124,54753003,356,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54744428,116,54743932,380,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54690531,114,54690073,344,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54737992,121,54737582,289,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54711280,117,54710864,299,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54708367,116,54707946,305,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54720076,117,54719678,281,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54732557,118,54732124,315,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54721388,120,54720991,277,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54712488,117,54712097,274,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,55125835,115,55125414,306,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54715485,122,54715065,298,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54696979,117,54696479,383,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54740296,118,54739893,285,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,54705336,116,54704889,331,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55545331,250,55544682,399,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55461211,208,55460697,306,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55432899,151,55432411,337,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55415321,141,55414894,286,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55441069,102,55440596,371,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55431541,103,55431031,407,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55392176,101,55391788,287,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55438995,133,55438518,344,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55429128,83,55428756,289,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55428139,106,55427729,304,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55436700,111,55436278,311,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55664778,108,55664355,315,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55432087,102,55431612,373,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55428998,79,55428556,363,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55425096,128,55424582,386,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55437684,83,55437240,361,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55408150,86,55407716,348,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55407609,84,55407148,377,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55469371,89,55468931,351,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,55419395,103,55418946,346,1,1,1
