competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3724993,1581717,1628736,343622,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3528541,1544717,1625376,355898,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3432561,1477132,1626016,327415,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3396067,1446539,1624768,322599,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3394339,1444577,1626880,321289,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3387207,1437794,1624992,322362,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3403579,1450498,1626336,324751,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3385811,1440987,1625440,317173,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3392528,1438847,1626240,320391,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3390291,1440881,1625408,321505,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3380621,1433106,1626848,319554,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3390643,1433312,1623712,331221,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3402305,1440983,1628672,330100,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3436902,1490474,1624992,319584,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3418603,1473927,1623008,320145,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3436671,1480617,1623680,329728,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3425087,1476839,1625696,320517,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3447292,1486450,1625760,333848,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3439391,1484765,1625472,327545,1,313,256
GPU-Shared,random-0.00001,CSR,20000,20000,32,0,3433640,1481433,1623680,326957,1,313,256
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1847796,1466470,43424,329495,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1841494,1468808,42944,320793,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1834407,1468726,36544,320265,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1837872,1465643,42304,320858,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1829942,1459726,43104,318852,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1863237,1470486,42432,341321,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1852486,1467394,42624,333023,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1860475,1479249,42496,329819,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1839631,1466189,41664,322213,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1841666,1469969,43136,319515,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1838075,1467911,40960,319611,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1837947,1467373,41824,319439,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1836861,1465672,42720,319503,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1836544,1460085,42944,325145,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1838115,1460568,42752,326207,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1832667,1459927,41856,322005,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1853493,1471958,42272,330349,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1852634,1474334,43616,326005,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1857472,1480413,42272,325472,1,2048,1024
GPU-Convert,random-0.00001,CSR,20000,20000,32,0,1843869,1472739,42848,319856,1,2048,1024
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3381933,1590003,1410048,379730,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3369720,1580381,1409024,377749,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3368193,1580139,1411104,375154,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3355953,1572474,1417184,365079,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3351693,1566361,1415168,367647,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3362244,1570582,1419264,370034,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3350624,1567073,1414176,366819,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3371051,1575151,1415168,378581,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3359135,1571069,1414144,372068,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3356806,1575128,1412096,367131,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3354549,1567428,1418240,366884,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3590971,1568952,1651712,369119,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3346554,1566682,1410048,367667,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3357790,1563623,1412096,379515,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3602819,1576856,1647616,376180,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3361096,1577237,1413120,368823,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3578562,1558148,1652736,365512,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3362179,1570974,1418240,371326,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3350680,1565829,1415136,367124,1,313,256
GPU-Shared,random-0.0001,CSR,20000,20000,32,20000,3618938,1583324,1652736,380733,1,313,256
GPU-Convert,random-0.0001,CSR,20000,20000,32,20000,2006733,1563566,48000,387605,1,2048,1024
GPU-Convert,random-0.0001,CSR,20000,20000,32,20000,2003432,1570639,45440,378358,1,2048,1024
GPU-Convert,random-0.0001,CSR,20000,20000,32,20000,1980220,1552198,46176,373407,1,2048,1024
GPU-Convert,random-0.0001,CSR,20000,20000,32,20000,1978168,1554445,45888,369508,1,2048,1024
GPU-Convert,random-0.0001,CSR,20000,20000,32,20000,1982046,1557131,46528,370167,1,2048,1024
GPU-Convert,random-0.0001,CSR,20000,20000,32,20000,1974957,1549064,46592,370965,1,2048,1024
GPU-Convert,random-0.0001,CSR,20000,20000,32,20000,1983436,1557515,45856,371589,1,2048,1024
