competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,40775562,440,40774532,590,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,40258884,260,40257873,751,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,40189215,320,40188335,560,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,40553812,290,40552933,589,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,40303913,300,40303044,569,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,40009725,140,40008895,690,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,40140965,140,40140005,820,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,40194284,250,40193364,670,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,40274834,140,40274094,600,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,40215615,160,40214784,671,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,41721156,469,41719797,890,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,41650677,180,41649587,910,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,41797257,250,41796336,671,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,41664347,250,41663426,671,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,41884456,140,41883525,791,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,41641748,240,41640708,800,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,41510548,251,41509627,670,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,41677617,230,41676717,670,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,41776986,370,41775966,650,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,41798286,240,41797256,790,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1476162945,3589642,1470498816,1875181,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1422291058,2226540,1418254336,1814911,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1422359507,2222449,1418312704,1827571,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1422271959,2223789,1418245120,1807062,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1422344888,2231229,1418301440,1817062,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1422393288,2284020,1418248192,1865441,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1422280807,2199649,1418246144,1839660,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1422374547,2242999,1418317824,1818021,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1422279567,2221219,1418247168,1815051,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1422256677,2185159,1418250240,1825451,1,1,1
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,5832212,3013415,136064,2654487,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,5389074,2683837,123840,2547688,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,5346674,2635157,122528,2556547,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,5349944,2651837,123936,2540938,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,5344925,2617098,125888,2568538,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,5360224,2642788,126304,2558897,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,5336714,2634297,125376,2545248,1,2048,512
