competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,53276340,391,53275532,417,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,53018983,184,53018423,376,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,53043569,177,53042991,401,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,53024034,107,53023552,375,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,52956931,112,52956524,295,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,52978975,80,52978570,325,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,52986365,121,52985917,327,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,52994885,66,52994501,318,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,53006855,91,53006442,322,1,1,1
CPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,52933264,113,52932833,318,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,54180327,351,54179512,464,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,54047032,177,54046594,261,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,54139240,44,54138859,337,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,54047311,71,54046948,292,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,54144894,70,54144494,330,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,54082584,134,54082057,393,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,54083739,82,54083419,238,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,54017110,138,54016640,332,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,54058330,148,54057770,412,1,1,1
CPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,54129931,109,54129438,384,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1331584444,4949247,1323158400,3295572,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1305864803,3526901,1299220480,3120480,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1305927842,3488025,1299194880,3247886,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1305769837,3491617,1299185664,3096719,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1305761091,3476263,1299200000,3087873,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1305749227,3471208,1299148800,3133060,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1305761446,3478757,1299181568,3104758,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1305745567,3487090,1299167232,3095136,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1305779288,3463307,1299146752,3173230,1,1,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,1306835451,4560736,1299182592,3095463,1,1,1
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,10219181,5129521,184224,4833988,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,10346086,4935124,191776,5145374,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,10368852,4920254,191584,5184998,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,10626692,4889436,189408,5474540,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,10647962,4908700,191872,5474116,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,10594047,4889082,190944,5441147,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,9521374,4875666,191616,4381177,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,9495902,4856597,190432,4375129,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,9539118,4866166,193088,4407663,1,2048,512
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,9527997,4865701,191296,4397723,1,2048,512
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,749830000,538686951,172178624,38960361,0,1,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,32151207,5756884,325408,26065868,0,1,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,26185077,5514070,319808,20348164,0,1,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,22243279,5729111,629824,15881674,0,1,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,17412862,5653868,321920,11434501,0,1,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,23166553,5697414,320224,17145383,0,1,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,17349993,5764643,321472,11260705,0,1,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,17337119,5681365,323552,11328874,0,1,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,22077945,5577190,320704,16176921,0,1,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,17331925,5695783,321568,11311336,0,1,1
GPU-Tiled,RandomWithDensity,CSR,4000,4000,32,1600000,29233158,5310777,20965376,2953566,1,512,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,32,1600000,27369775,3513963,20952064,2900881,1,512,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,32,1600000,27359813,3507779,20967424,2882571,1,512,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,32,1600000,27737486,3899801,20954112,2880945,1,512,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,32,1600000,27362877,3495078,20970496,2894620,1,512,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,32,1600000,27318406,3495365,20930560,2889486,1,512,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,32,1600000,27330591,3496980,20953088,2876960,1,512,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,32,1600000,27364784,3502642,20950016,2908635,1,512,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,32,1600000,27328805,3485551,20965376,2874733,1,512,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,32,1600000,27334724,3513187,20938752,2879666,1,512,64
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,7525579,4149208,439296,2934276,1,63,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,6846302,3520587,436224,2885443,1,63,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,6848296,3525200,437248,2883114,1,63,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,6828533,3523040,435200,2867700,1,63,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,6831776,3509973,435200,2884029,1,63,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,6841855,3525274,439296,2874229,1,63,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,6842916,3525191,436224,2878432,1,63,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,6824569,3508623,437248,2876134,1,63,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,6840543,3526844,436224,2875266,1,63,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,6822811,3502075,437248,2881123,1,63,256
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,7415272,3599137,809984,3002997,1,2048,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,7969423,3658098,809984,3498182,1,2048,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,8503062,3601770,806912,4091329,1,2048,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,7374203,3585436,806912,2979190,1,2048,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,7417526,3622641,806912,2985371,1,2048,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,7398943,3610129,807936,2977563,1,2048,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,7392420,3598218,806912,2984526,1,2048,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,7436530,3598209,807936,3022955,1,2048,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,7407961,3613094,806912,2985081,1,2048,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,7378971,3585677,807936,2982737,1,2048,1024
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,32,1600000,120618553,116836706,575776,3203522,1,125,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,32,1600000,120285489,116538966,573344,3169498,1,125,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,32,1600000,120255969,116509276,576032,3167291,1,125,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,32,1600000,120143010,116404524,570944,3165093,1,125,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,32,1600000,120257480,116503659,573120,3178254,1,125,128
