competitor,dataset,mat_repr,M,N,K,total_ns,init_ns,comp_ns,cleanup_ns,correctness
CPU-Basic,NIPS,CSR,11463,5811,32,45100729,589,45099505,635,1
CPU-Basic,NIPS,COO,11463,5811,32,48975740,442,48974680,618,1
CPU-PyTorch,NIPS,CSR,11463,5811,32,80096724,1661253,74813650,3621821,1
GPU-Basic,NIPS,COO,11463,5811,32,19719792,7628471,8184976,3906345,1
GPU-PyTorch,NIPS,CSR,11463,5811,32,56967159,9539328,33553966,13873865,1
GPU-Tiled,NIPS,CSR,11463,5811,32,66751742,4049045,59692492,3010205,1
CPU-Basic,EMail-Enron,CSR,36692,36692,32,4590468,234,4589919,315,1
CPU-Basic,EMail-Enron,COO,36692,36692,32,4538493,112,4538134,247,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,32,5227465,177269,4728997,321199,1
GPU-Basic,EMail-Enron,COO,36692,36692,32,6631497,4516590,875463,1239444,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,32,3195493,1657284,436807,1101402,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,32,58287671,2037323,54823222,1427126,1
CPU-Basic,ND12K,CSR,36000,36000,32,83102029,492,83100802,735,1
CPU-Basic,ND12K,COO,36000,36000,32,84798971,416,84797966,589,0
CPU-PyTorch,ND12K,CSR,36000,36000,32,100527352,2558288,89955471,8013593,1
GPU-Basic,ND12K,COO,36000,36000,32,29916262,9765757,15030421,5120084,0
GPU-PyTorch,ND12K,CSR,36000,36000,32,33305017,7109969,2252954,23942094,1
GPU-Tiled,ND12K,CSR,36000,36000,32,130437068,7033731,115942542,7460795,1
CPU-Basic,HumanGene2,CSR,14340,14340,32,105039400,537,105037976,887,1
CPU-Basic,HumanGene2,COO,14340,14340,32,107569823,523,107568560,740,0
CPU-PyTorch,HumanGene2,CSR,14340,14340,32,140690220,7612443,120211125,12866652,1
GPU-Basic,HumanGene2,COO,14340,14340,32,271526505,46228500,208602791,16695214,0
GPU-PyTorch,HumanGene2,CSR,14340,14340,32,87047331,32919489,4218882,49908960,1
GPU-Tiled,HumanGene2,CSR,14340,14340,32,157224827,8498772,142652714,6073341,1
CPU-Basic,NIPS,CSR,11463,5811,64,96892500,617,96891079,804,1
CPU-Basic,NIPS,COO,11463,5811,64,96488324,422,96487243,659,1
CPU-PyTorch,NIPS,CSR,11463,5811,64,59577502,1751551,54264750,3561201,1
GPU-Basic,NIPS,COO,11463,5811,64,24027818,6936406,13531753,3559659,1
GPU-PyTorch,NIPS,CSR,11463,5811,64,53751807,7664905,32410433,13676469,1
GPU-Tiled,NIPS,CSR,11463,5811,64,95478069,4213190,88285159,2979720,1
CPU-Basic,EMail-Enron,CSR,36692,36692,64,9184318,260,9183476,582,1
CPU-Basic,EMail-Enron,COO,36692,36692,64,8217511,155,8217053,303,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,64,12797465,181351,12158589,457525,1
GPU-Basic,EMail-Enron,COO,36692,36692,64,7115358,4440947,1293892,1380519,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,64,4122331,2522354,462523,1137454,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,64,102858812,2811971,98546157,1500684,1
CPU-Basic,ND12K,CSR,36000,36000,64,166078478,591,166077224,663,1
CPU-Basic,ND12K,COO,36000,36000,64,168353424,425,168352050,949,0
CPU-PyTorch,ND12K,CSR,36000,36000,64,105759668,2189337,97096371,6473960,1
GPU-Basic,ND12K,COO,36000,36000,64,134319752,21312098,105059363,7948291,0
GPU-PyTorch,ND12K,CSR,36000,36000,64,102890989,15850343,2676535,84364111,1
GPU-Tiled,ND12K,CSR,36000,36000,64,165744464,17380933,143769024,4594507,1
CPU-Basic,HumanGene2,CSR,14340,14340,64,229551794,568,229550181,1045,1
CPU-Basic,HumanGene2,COO,14340,14340,64,217700185,459,217698689,1037,0
CPU-PyTorch,HumanGene2,CSR,14340,14340,64,138857122,8132263,120369054,10355805,1
GPU-Basic,HumanGene2,COO,14340,14340,64,322830877,47813968,267519935,7496974,0
GPU-PyTorch,HumanGene2,CSR,14340,14340,64,46385213,11151887,4297118,30936208,1
GPU-Tiled,HumanGene2,CSR,14340,14340,64,227213505,10321683,210167252,6724570,1
CPU-Basic,NIPS,CSR,11463,5811,128,209447120,785,209444924,1411,1
CPU-Basic,NIPS,COO,11463,5811,128,192131208,664,192129614,930,1
CPU-PyTorch,NIPS,CSR,11463,5811,128,66162427,1830540,59225401,5106486,1
GPU-Basic,NIPS,COO,11463,5811,128,34639577,6216559,24574441,3848577,1
GPU-PyTorch,NIPS,CSR,11463,5811,128,56060681,8920544,33388012,13752125,1
GPU-Tiled,NIPS,CSR,11463,5811,128,165707919,4533065,158293376,2881478,1
CPU-Basic,EMail-Enron,CSR,36692,36692,128,19800497,261,19799465,771,1
CPU-Basic,EMail-Enron,COO,36692,36692,128,18059773,238,18058663,872,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,128,7683295,226262,6910770,546263,1
GPU-Basic,EMail-Enron,COO,36692,36692,128,8710760,5121283,2303851,1285626,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,128,4551052,3243664,304531,1002857,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,128,161179592,3786471,156274793,1118328,1
CPU-Basic,ND12K,CSR,36000,36000,128,352316088,608,352314701,779,1
CPU-Basic,ND12K,COO,36000,36000,128,325145618,775,325143961,882,0
CPU-PyTorch,ND12K,CSR,36000,36000,128,102553524,2147485,94162026,6244013,1
GPU-Basic,ND12K,COO,36000,36000,128,283491437,25338212,252898477,5254748,0
GPU-PyTorch,ND12K,CSR,36000,36000,128,38251148,12009964,3525127,22716057,0
GPU-Tiled,ND12K,CSR,36000,36000,128,244265479,9957888,229595145,4712446,1
CPU-Basic,HumanGene2,CSR,14340,14340,128,465091583,530,465090091,962,1
CPU-Basic,HumanGene2,COO,14340,14340,128,427638652,652,427637283,717,0
CPU-PyTorch,HumanGene2,CSR,14340,14340,128,144984812,3030618,132583883,9370311,1
GPU-Basic,HumanGene2,COO,14340,14340,128,217008643,52852250,156285910,7870483,0
GPU-PyTorch,HumanGene2,CSR,14340,14340,128,42602403,9227760,4297436,29077207,1
GPU-Tiled,HumanGene2,CSR,14340,14340,128,361956376,9211493,347010179,5734704,1
CPU-Basic,RandomWithDensity,CSR,25000,25000,32,404635432,686,404633877,869,1
CPU-Basic,RandomWithDensity,COO,25000,25000,32,417306567,660,417304904,1003,1
CPU-PyTorch,RandomWithDensity,CSR,25000,25000,32,464544561,31421918,390408063,42714580,1
GPU-Basic,RandomWithDensity,COO,25000,25000,32,122879782,37768701,62484320,22626761,1
GPU-PyTorch,RandomWithDensity,CSR,25000,25000,32,227918835,51033418,63511194,113374223,1
GPU-Tiled,RandomWithDensity,CSR,25000,25000,32,154380087,25572007,112314290,16493790,1
CPU-Basic,RandomWithDensity,CSR,25000,25000,64,835748885,556,835747425,904,1
CPU-Basic,RandomWithDensity,COO,25000,25000,64,843939038,639,843937241,1158,1
CPU-PyTorch,RandomWithDensity,CSR,25000,25000,64,499454480,31712236,424292800,43449444,1
GPU-Basic,RandomWithDensity,COO,25000,25000,64,170809133,41696929,104921712,24190492,1
GPU-PyTorch,RandomWithDensity,CSR,25000,25000,64,236204437,54616514,65619986,115967937,1
GPU-Tiled,RandomWithDensity,CSR,25000,25000,64,217640926,28343397,173730000,15567529,1
CPU-Basic,RandomWithDensity,CSR,25000,25000,128,1693004981,548,1693003337,1096,1
CPU-Basic,RandomWithDensity,COO,25000,25000,128,1889353901,514,1889352686,701,1
CPU-PyTorch,RandomWithDensity,CSR,25000,25000,128,512814545,31208791,437796479,43809275,0
GPU-Basic,RandomWithDensity,COO,25000,25000,128,461247690,78740889,356975043,25531758,1
GPU-PyTorch,RandomWithDensity,CSR,25000,25000,128,230325439,54669232,63124502,112531705,0
GPU-Tiled,RandomWithDensity,CSR,25000,25000,128,346468445,31702399,299100782,15665264,1
