competitor,dataset,mat_repr,M,N,K,total_ns,init_ns,comp_ns,cleanup_ns,correctness
CPU-Basic,Cage14,CSR,1505785,1505785,32,345378266,724,345376480,1062,1
CPU-Basic,Cage14,COO,1505785,1505785,32,342878017,584,342876254,1179,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,32,449403600,22186728,386597618,40619254,1
GPU-Basic,Cage14,COO,1505785,1505785,32,478245098,391658572,877678,85708848,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,32,253865722,85082376,64494503,104288843,1
GPU-Tiled,Cage14,CSR,1505785,1505785,32,21077401401,57749441,204136,21019447824,1
CPU-Basic,Cage14,CSR,1505785,1505785,64,694706210,801,694704171,1238,1
CPU-Basic,Cage14,COO,1505785,1505785,64,708096897,468,708095345,1084,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,64,742146354,40729897,662486935,38929522,1
GPU-Basic,Cage14,COO,1505785,1505785,64,516800738,388599415,553775,127647548,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,64,269223492,115963351,58734523,94525618,1
GPU-Tiled,Cage14,CSR,1505785,1505785,64,22028153323,96141098,156777,21931855448,1
CPU-Basic,Cage14,CSR,1505785,1505785,128,1450027825,810,1450026066,949,1
CPU-Basic,Cage14,COO,1505785,1505785,128,1506362874,714,1506360969,1191,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,128,580902067,29449193,514987314,36465560,0
GPU-Basic,Cage14,COO,1505785,1505785,128,654484617,440964163,568145,212952309,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,128,355473660,195837037,61179282,98457341,0
GPU-Tiled,Cage14,CSR,1505785,1505785,128,24231542464,149227320,9950119,24072365025,1
CPU-Basic,Cage14,CSR,1505785,1505785,32,342207147,685,342205252,1210,1
CPU-Basic,Cage14,COO,1505785,1505785,32,339055715,454,339054044,1217,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,32,377788448,23195656,317468635,37124157,1
GPU-Basic,Cage14,COO,1505785,1505785,32,408516058,325416489,800885,82298684,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,32,247898015,86572496,60608494,100717025,1
GPU-Tiled,Cage14,CSR,1505785,1505785,32,21105660891,57497162,202052,21047961677,1
CPU-Basic,Cage14,CSR,1505785,1505785,64,674940676,693,674938839,1144,1
CPU-Basic,Cage14,COO,1505785,1505785,64,691175532,543,691173479,1510,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,64,474450264,28678740,402306203,43465321,1
GPU-Basic,Cage14,COO,1505785,1505785,64,532945266,395463654,1096285,136385327,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,64,320739415,124441180,62041416,134256819,1
GPU-Tiled,Cage14,CSR,1505785,1505785,64,22142728248,87456142,135691,22055136415,1
CPU-Basic,Cage14,CSR,1505785,1505785,128,1447971012,643,1447969324,1045,1
CPU-Basic,Cage14,COO,1505785,1505785,128,1434156893,529,1434155357,1007,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,128,531681937,27870878,459695366,44115693,1
GPU-Basic,Cage14,COO,1505785,1505785,128,703857899,480857583,901438,222098878,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,128,404536606,183256377,62046163,159234066,1
GPU-Tiled,Cage14,CSR,1505785,1505785,128,24349073300,164682705,315968,24184074627,1
CPU-Basic,Cage14,CSR,1505785,1505785,32,339850185,947,339848221,1017,1
CPU-Basic,Cage14,COO,1505785,1505785,32,355773614,683,355771757,1174,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,32,946766418,23111964,884079471,39574983,1
GPU-Basic,Cage14,COO,1505785,1505785,32,420922714,339805082,464238,80653394,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,32,240664152,82165584,58891891,99606677,1
GPU-Tiled,Cage14,CSR,1505785,1505785,32,21266215094,56448939,140179,21209625976,1
CPU-Basic,Cage14,CSR,1505785,1505785,64,703392369,874,703390420,1075,1
CPU-Basic,Cage14,COO,1505785,1505785,64,654181433,603,654179700,1130,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,64,412888676,29022830,347950389,35915457,1
GPU-Basic,Cage14,COO,1505785,1505785,64,488231479,361162337,551190,126517952,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,64,290955086,129121080,60979668,100854338,1
GPU-Tiled,Cage14,CSR,1505785,1505785,64,22159780743,95733791,231305,22063815647,1
CPU-Basic,Cage14,CSR,1505785,1505785,128,1469601028,873,1469598997,1158,1
CPU-Basic,Cage14,COO,1505785,1505785,128,1489293601,1135,1489291197,1269,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,128,839716293,37780967,764359586,37575740,0
GPU-Basic,Cage14,COO,1505785,1505785,128,643247235,426258042,645753,216343440,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,128,343294019,188398030,58679418,96216571,0
GPU-Tiled,Cage14,CSR,1505785,1505785,128,24371230335,161673781,196759,24209359795,1
CPU-Basic,Cage14,CSR,1505785,1505785,32,334196170,557,334194757,856,1
CPU-Basic,Cage14,COO,1505785,1505785,32,323929110,475,323927498,1137,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,32,423481689,22676677,361316068,39488944,1
GPU-Basic,Cage14,COO,1505785,1505785,32,505528906,415930674,1941684,87656548,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,32,334589414,107649837,58614733,168324844,1
GPU-Tiled,Cage14,CSR,1505785,1505785,32,21287472823,66101954,161008,21221209861,1
CPU-Basic,Cage14,CSR,1505785,1505785,64,709913058,686,709911218,1154,1
CPU-Basic,Cage14,COO,1505785,1505785,64,686174895,823,686173077,995,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,64,543832727,30007084,475356005,38469638,1
GPU-Basic,Cage14,COO,1505785,1505785,64,469562432,343037791,418109,126106532,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,64,292954246,135242701,60763524,96948021,1
GPU-Tiled,Cage14,CSR,1505785,1505785,64,22165122098,83268043,125025,22081729030,1
CPU-Basic,Cage14,CSR,1505785,1505785,128,1431410693,719,1431408903,1071,1
CPU-Basic,Cage14,COO,1505785,1505785,128,1474212724,637,1474210974,1113,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,128,530129618,28491537,460766408,40871673,0
GPU-Basic,Cage14,COO,1505785,1505785,128,702002345,477567192,1777301,222657852,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,128,350637414,179675962,64690456,106270996,0
GPU-Tiled,Cage14,CSR,1505785,1505785,128,24373811985,159468793,191234,24214151958,1
CPU-Basic,Cage14,CSR,1505785,1505785,32,326973100,638,326971180,1282,1
CPU-Basic,Cage14,COO,1505785,1505785,32,330779556,578,330777432,1546,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,32,867802504,22455134,808058405,37288965,1
GPU-Basic,Cage14,COO,1505785,1505785,32,422456880,338114766,493414,83848700,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,32,246055337,82608515,66489568,96957254,1
GPU-Tiled,Cage14,CSR,1505785,1505785,32,21308777605,56067483,150900,21252559222,1
CPU-Basic,Cage14,CSR,1505785,1505785,64,709649690,616,709648146,928,1
CPU-Basic,Cage14,COO,1505785,1505785,64,708902633,808,708900351,1474,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,64,415325240,28340265,349531682,37453293,1
GPU-Basic,Cage14,COO,1505785,1505785,64,509289232,377680181,469489,131139562,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,64,331094996,130257180,104881095,95956721,1
GPU-Tiled,Cage14,CSR,1505785,1505785,64,22139427356,94381576,133435,22044912345,1
CPU-Basic,Cage14,CSR,1505785,1505785,128,1464172958,774,1464171277,907,1
CPU-Basic,Cage14,COO,1505785,1505785,128,1479828587,814,1479826253,1520,0
CPU-PyTorch,Cage14,CSR,1505785,1505785,128,477780612,28333695,397889397,51557520,0
GPU-Basic,Cage14,COO,1505785,1505785,128,844479590,579395315,960780,264123495,0
GPU-PyTorch,Cage14,CSR,1505785,1505785,128,425219020,247782110,61160657,116276253,0
GPU-Tiled,Cage14,CSR,1505785,1505785,128,24379698344,193664902,140552,24185892890,1
