competitor,dataset,mat_repr,M,N,K,total_ns,init_ns,comp_ns,cleanup_ns,correctness
CPU-Basic,NIPS,CSR,11463,5811,32,46415046,769,46413377,900,1
CPU-Basic,NIPS,COO,11463,5811,32,48499575,380,48498215,980,1
CPU-PyTorch,NIPS,CSR,11463,5811,32,78292186,1854136,68128841,8309209,1
GPU-Basic,NIPS,COO,11463,5811,32,282895827,270937374,418079,11540374,1
GPU-PyTorch,NIPS,CSR,11463,5811,32,57874783,8199788,35315703,14359292,1
GPU-Tiled,NIPS,CSR,11463,5811,32,49442128,4703499,97570,44641059,1
CPU-Basic,EMail-Enron,CSR,36692,36692,32,4967195,150,4966759,286,1
CPU-Basic,EMail-Enron,COO,36692,36692,32,4496203,220,4495656,327,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,32,10338972,182854,9837464,318654,1
GPU-Basic,EMail-Enron,COO,36692,36692,32,6238064,3886857,19893,2331314,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,32,2765355,1332888,338158,1094309,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,32,71910910,2276725,14107,69620078,1
CPU-Basic,NIPS,CSR,11463,5811,64,100720118,988,100718311,819,1
CPU-Basic,NIPS,COO,11463,5811,64,94356323,218,94355751,354,1
CPU-PyTorch,NIPS,CSR,11463,5811,64,66974853,1767835,57215675,7991343,1
GPU-Basic,NIPS,COO,11463,5811,64,280028625,262493753,483755,17051117,1
GPU-PyTorch,NIPS,CSR,11463,5811,64,56429029,7889297,34550980,13988752,1
GPU-Tiled,NIPS,CSR,11463,5811,64,75396580,4093423,93831,71209326,1
CPU-Basic,EMail-Enron,CSR,36692,36692,64,8993829,238,8993205,386,1
CPU-Basic,EMail-Enron,COO,36692,36692,64,8642578,114,8642050,414,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,64,11785050,199411,11109178,476461,1
GPU-Basic,EMail-Enron,COO,36692,36692,64,8054032,5390248,21399,2642385,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,64,3427595,2117463,313674,996458,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,64,121241958,2891801,14498,118335659,1
CPU-Basic,NIPS,CSR,11463,5811,128,204160743,916,204158739,1088,1
CPU-Basic,NIPS,COO,11463,5811,128,189354718,389,189353450,879,1
CPU-PyTorch,NIPS,CSR,11463,5811,128,82182577,1893423,71624672,8664482,1
GPU-Basic,NIPS,COO,11463,5811,128,302303307,274080760,446355,27776192,1
GPU-PyTorch,NIPS,CSR,11463,5811,128,60267901,8564582,37675243,14028076,1
GPU-Tiled,NIPS,CSR,11463,5811,128,132722813,4432699,90481,128199633,1
CPU-Basic,EMail-Enron,CSR,36692,36692,128,19743262,257,19742163,842,1
CPU-Basic,EMail-Enron,COO,36692,36692,128,18668997,263,18667721,1013,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,128,9899655,206476,9115260,577919,1
GPU-Basic,EMail-Enron,COO,36692,36692,128,11542657,8004076,20827,3517754,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,128,4559094,3187081,306265,1065748,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,128,196268959,3792368,13724,192462867,1
CPU-Basic,NIPS,CSR,11463,5811,32,45674924,779,45673248,897,1
CPU-Basic,NIPS,COO,11463,5811,32,48268571,284,48267586,701,1
CPU-PyTorch,NIPS,CSR,11463,5811,32,65960437,1902949,60167671,3889817,1
GPU-Basic,NIPS,COO,11463,5811,32,279964176,267862541,520307,11581328,1
GPU-PyTorch,NIPS,CSR,11463,5811,32,60244875,8092863,37360351,14791661,1
GPU-Tiled,NIPS,CSR,11463,5811,32,49485680,5062956,139528,44283196,1
CPU-Basic,EMail-Enron,CSR,36692,36692,32,4886836,164,4886352,320,1
CPU-Basic,EMail-Enron,COO,36692,36692,32,4688102,190,4687621,291,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,32,11270365,212789,10741469,316107,1
GPU-Basic,EMail-Enron,COO,36692,36692,32,6430321,2945698,24793,3459830,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,32,2798417,1454734,298147,1045536,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,32,72249058,2311160,13487,69924411,1
CPU-Basic,NIPS,CSR,11463,5811,64,94165668,699,94164254,715,1
CPU-Basic,NIPS,COO,11463,5811,64,94666508,432,94665302,774,1
CPU-PyTorch,NIPS,CSR,11463,5811,64,81097074,1770761,75637631,3688682,1
GPU-Basic,NIPS,COO,11463,5811,64,279624068,262089924,469995,17064149,1
GPU-PyTorch,NIPS,CSR,11463,5811,64,57508685,8436084,34139424,14933177,1
GPU-Tiled,NIPS,CSR,11463,5811,64,77038276,5028702,211643,71797931,1
CPU-Basic,EMail-Enron,CSR,36692,36692,64,9904628,179,9903932,517,1
CPU-Basic,EMail-Enron,COO,36692,36692,64,8238590,167,8237936,487,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,64,4254083,199487,3730307,324289,1
GPU-Basic,EMail-Enron,COO,36692,36692,64,8411943,5525512,19667,2866764,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,64,3839943,2477213,322187,1040543,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,64,121888892,3637542,11605,118239745,1
CPU-Basic,NIPS,CSR,11463,5811,128,212451150,929,212449159,1062,1
CPU-Basic,NIPS,COO,11463,5811,128,191672943,388,191671907,648,1
CPU-PyTorch,NIPS,CSR,11463,5811,128,77715451,1845593,72148638,3721220,1
GPU-Basic,NIPS,COO,11463,5811,128,278022398,249294671,633316,28094411,1
GPU-PyTorch,NIPS,CSR,11463,5811,128,59283120,9146708,34413316,15723096,1
GPU-Tiled,NIPS,CSR,11463,5811,128,126522097,4673789,101620,121746688,1
CPU-Basic,EMail-Enron,CSR,36692,36692,128,19563729,289,19562902,538,1
CPU-Basic,EMail-Enron,COO,36692,36692,128,17496469,221,17495907,341,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,128,15777494,201691,15072640,503163,1
GPU-Basic,EMail-Enron,COO,36692,36692,128,11618914,8174102,33524,3411288,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,128,5670489,4089294,464539,1116656,0
GPU-Tiled,EMail-Enron,CSR,36692,36692,128,200993860,4777951,14067,196201842,1
CPU-Basic,NIPS,CSR,11463,5811,32,48579708,590,48578214,904,1
CPU-Basic,NIPS,COO,11463,5811,32,48568648,370,48567579,699,1
CPU-PyTorch,NIPS,CSR,11463,5811,32,68416246,1850290,62788632,3777324,1
