competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,5920781,2385339,1501184,1749401,1,128,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,5766201,2355148,1673216,1733031,1,128,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,6706927,2302988,2663424,1735372,1,128,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9228295,2360739,5193728,1668702,1,128,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,13821731,2172749,9971712,1671371,1,128,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,5497783,2154049,1667072,1671102,1,256,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,6404418,2075290,2656256,1667192,1,256,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9059595,2181699,5201920,1670532,1,256,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,13866771,2168659,10002432,1690352,1,256,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,13906601,2170459,10023936,1706812,1,256,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,5717092,2178110,1665024,1868091,1,512,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,6720146,2312198,2655232,1746861,1,512,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9321163,2373578,5196800,1745341,1,512,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,14129950,2363488,9955328,1805861,1,512,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,14166920,2364329,10011648,1785341,1,512,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,5811641,2384498,1670144,1750831,1,1024,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,6727167,2319378,2658304,1744332,1,1024,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9321104,2366378,5200896,1748642,1,1024,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,14115731,2369849,9973760,1766782,1,1024,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,14127490,2371108,9966592,1784921,1,1024,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,5789792,2381459,1661952,1740272,1,2048,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,6732777,2327859,2650112,1749031,1,2048,128
