competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8458342,4020368,1325056,3096549,1,128,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8447968,3845976,1667072,2931834,1,128,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9421689,3795401,2715648,2907593,1,128,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,11908850,3776113,5219328,2910957,1,128,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,17054316,3774971,10364928,2911478,1,128,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8068620,3783500,1324032,2958479,1,256,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8367508,3781013,1665024,2918683,1,256,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9858193,4210942,2720768,2923860,1,256,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,11869062,3782923,5165056,2917856,1,256,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,17062795,3784954,10361856,2913198,1,256,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8006218,3769518,1319936,2913743,1,512,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8381102,3788737,1669120,2920254,1,512,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,10487881,3783498,2706432,3994862,1,512,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12923079,3768044,5168128,3984627,1,512,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,17081446,3781299,10379264,2918181,1,512,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9095846,3777333,1323008,3991850,1,1024,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8341535,3762306,1668096,2908255,1,1024,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9408342,3769300,2714624,2922052,1,1024,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,12658252,4564559,5181440,2909975,1,1024,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,18149209,4848183,10371072,2927321,1,1024,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,8003461,3766010,1321984,2912307,1,2048,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9215828,4632321,1666048,2914500,1,2048,128
